year,month,product_code,product_type,revenue
2017,December,Prod049,"Own Brand",224966.7
2017,December,Prod166,"Own Brand",222759
2017,December,Prod099,"Own Brand",146426.2
2017,December,Prod102,"Own Brand",80325
2017,December,Prod133,"Own Brand",35810.6
2017,December,Prod065,"Own Brand",32891.8
2017,December,Prod252,"Distribution",32689.4
2017,December,Prod106,"Own Brand",30655.5
2017,December,Prod053,"Own Brand",30633.2
2017,December,Prod214,"Own Brand",26567.2
2017,December,Prod024,"Distribution",14759
2017,December,Prod113,"Distribution",13907.8
2017,December,Prod035,"Own Brand",13852.9
2017,December,Prod117,"Distribution",13704.3
2017,December,Prod174,"Distribution",11886.6
2017,December,Prod026,"Distribution",11725.9
2017,December,Prod260,"Own Brand",11012
2017,December,Prod213,"Own Brand",9639.6
2017,December,Prod220,"Distribution",8645.6
2017,December,Prod003,"Own Brand",8485.7
2017,December,Prod103,"Own Brand",7306.3
2017,December,Prod236,"Distribution",7096.2
2017,December,Prod126,"Own Brand",6805.4
2017,December,Prod093,"Own Brand",6772.7
2017,December,Prod122,"Own Brand",6067.2
2017,December,Prod210,"Own Brand",5530.5
2017,December,Prod271,"Own Brand",5388.8
2017,December,Prod212,"Own Brand",4970.9
2017,December,Prod279,"Distribution",4906
2017,December,Prod114,"Distribution",4490.2
2017,December,Prod033,"Distribution",4195.8
2017,December,Prod245,"Own Brand",4078.6
2017,December,Prod062,"Own Brand",3469.3
2017,December,Prod199,"Own Brand",3406
2017,December,Prod134,"Own Brand",3379.5
2017,December,Prod196,"Own Brand",3185.6
2017,December,Prod238,"Own Brand",3107.1
2017,December,Prod216,"Own Brand",2703.8
2017,December,Prod183,"Own Brand",2000
2017,December,Prod274,"Own Brand",1915.1
2017,December,Prod019,"Own Brand",1704.4
2017,December,Prod265,"Distribution",1560.2
2017,December,Prod027,"Distribution",1549.9
2017,December,Prod270,"Own Brand",1516.9
2017,December,Prod116,"Distribution",1390.9
2017,December,Prod242,"Own Brand",1309
2017,December,Prod179,"Own Brand",1161.8
2017,December,Prod094,"Own Brand",960.6
2017,December,Prod249,"Distribution",867.2
2017,December,Prod098,"Own Brand",812.3
2017,December,Prod178,"Own Brand",796.8
2017,December,Prod267,"Distribution",764.9
2017,December,Prod221,"Distribution",760.9
2017,December,Prod263,"Distribution",755.3
2017,December,Prod088,"Own Brand",705.7
2017,December,Prod138,"Own Brand",548.7
2017,December,Prod140,"Own Brand",542.8
2017,December,Prod250,"Distribution",540.9
2017,December,Prod264,"Distribution",476.2
2017,December,Prod208,"Own Brand",449.2
2017,December,Prod273,"Own Brand",427.5
2017,December,Prod081,"Own Brand",413.5
2017,December,Prod275,"Own Brand",350.3
2017,December,Prod192,"Distribution",297.2
2017,December,Prod135,"Own Brand",266.2
2017,December,Prod185,"Own Brand",257.7
2017,December,Prod276,"Own Brand",225.4
2017,December,Prod272,"Own Brand",220.6
2017,December,Prod218,"Distribution",169.2
2017,December,Prod004,"Own Brand",147.3
2017,December,Prod248,"Distribution",130.8
2017,December,Prod038,"Own Brand",110.2
2017,December,Prod091,"Own Brand",107.4
2017,December,Prod219,"Distribution",44.6
2017,December,Prod025,"Distribution",30.4
2017,December,Prod247,"Own Brand",29.8
2017,December,Prod154,"Own Brand",29.5
2017,December,Prod207,"Distribution",13.3
2017,December,Prod139,"Own Brand",10.8
2017,December,Prod006,"Own Brand",1.1
2017,December,Prod030,"Distribution",-7.2
2017,December,Prod119,"Distribution",-18.3
2017,December,Prod159,"Distribution",-36.1
2017,December,Prod014,"Own Brand",-39.6
2017,December,Prod259,"Own Brand",-52
2017,December,Prod104,"Own Brand",-53.1
2017,December,Prod063,"Own Brand",-76.7
2017,December,Prod176,"Distribution",-176.7
2017,December,Prod253,"Own Brand",-205.3
2017,December,Prod278,"Distribution",-208.2
2017,December,Prod136,"Own Brand",-285.6
2017,December,Prod016,"Own Brand",-341.3
2017,December,Prod205,"Distribution",-433.4
2017,December,Prod241,"Own Brand",-511.1
2017,December,Prod184,"Own Brand",-665.8
2017,December,Prod089,"Own Brand",-672.6
2017,December,Prod110,"Distribution",-848.4
2017,December,Prod269,"Own Brand",-898
2017,December,Prod188,"Distribution",-929.6
2017,December,Prod095,"Own Brand",-1113.4
2017,December,Prod268,"Own Brand",-1116.2
2017,December,Prod100,"Own Brand",-1495
2017,December,Prod013,"Own Brand",-1612.7
2017,December,Prod128,"Distribution",-1631.6
2017,December,Prod187,"Own Brand",-1979.8
2017,December,Prod039,"Own Brand",-2188
2017,December,Prod101,"Own Brand",-2244
2017,December,Prod057,"Own Brand",-3134.1
2017,December,Prod118,"Distribution",-3458.5
2017,December,Prod254,"Own Brand",-3800.7
2017,December,Prod255,"Own Brand",-3866.6
2017,December,Prod129,"Distribution",-4290.8
2017,December,Prod258,"Own Brand",-4571.1
2017,December,Prod180,"Own Brand",-4802
2017,December,Prod060,"Own Brand",-5255
2017,December,Prod123,"Own Brand",-5475.7
2017,December,Prod177,"Distribution",-5848.7
2017,December,Prod251,"Distribution",-6178.5
2017,December,Prod137,"Own Brand",-7816.3
2017,December,Prod105,"Own Brand",-9389
2017,December,Prod246,"Own Brand",-10485.8
2017,December,Prod232,"Own Brand",-12000.3
2017,December,Prod017,"Own Brand",-12887.2
2017,December,Prod152,"Own Brand",-13688.4
2017,December,Prod239,"Own Brand",-17662.3
2017,December,Prod090,"Own Brand",-22355.8
2017,December,Prod215,"Own Brand",-22532.2
2017,December,Prod209,"Own Brand",-23453.9
2017,December,Prod206,"Distribution",-28835.9
2017,December,Prod107,"Own Brand",-60156.1
2017,November,Prod003,"Own Brand",1206660.4
2017,November,Prod209,"Own Brand",100126.4
