order_date,year,month,product_code,product_type,revenue,products
2017-12-04,2017,December,Prod003,"Own Brand",30306,58
2017-12-04,2017,December,Prod004,"Own Brand",5051,8
2017-12-12,2017,December,Prod006,"Own Brand",1874,3
2017-12-15,2017,December,Prod013,"Own Brand",7527,5
2017-12-01,2017,December,Prod014,"Own Brand",495,1
2017-12-01,2017,December,Prod016,"Own Brand",14625,10
2017-12-07,2017,December,Prod017,"Own Brand",158172,78
2017-12-05,2017,December,Prod019,"Own Brand",12985,13
2017-12-19,2017,December,Prod024,"Distribution",149777,98
2017-12-08,2017,December,Prod025,"Distribution",759,1
2017-12-20,2017,December,Prod026,"Distribution",55459,100
2017-12-18,2017,December,Prod027,"Distribution",19884,16
2017-12-21,2017,December,Prod030,"Distribution",241,1
2017-12-29,2017,December,Prod033,"Distribution",48745,16
2017-12-01,2017,December,Prod035,"Own Brand",44352,119
2017-12-18,2017,December,Prod038,"Own Brand",612,2
2017-12-01,2017,December,Prod039,"Own Brand",33964,24
2017-12-12,2017,December,Prod049,"Own Brand",725699,587
2017-12-05,2017,December,Prod053,"Own Brand",564834,2198
2017-12-15,2017,December,Prod057,"Own Brand",258120,436
2017-12-26,2017,December,Prod060,"Own Brand",498059,1086
2017-12-05,2017,December,Prod062,"Own Brand",80627,170
2017-12-22,2017,December,Prod063,"Own Brand",1792,16
2017-12-15,2017,December,Prod065,"Own Brand",334567,1272
2017-12-14,2017,December,Prod081,"Own Brand",38833,44
2017-12-01,2017,December,Prod088,"Own Brand",13884,431
2017-12-11,2017,December,Prod089,"Own Brand",2102,16
2017-12-13,2017,December,Prod090,"Own Brand",618318,13349
2017-12-27,2017,December,Prod091,"Own Brand",2148,42
2017-12-01,2017,December,Prod093,"Own Brand",237850,2699
2017-12-04,2017,December,Prod094,"Own Brand",4080,35
2017-12-04,2017,December,Prod095,"Own Brand",31928,187
2017-12-05,2017,December,Prod098,"Own Brand",62399,486
2017-12-01,2017,December,Prod099,"Own Brand",1392569,3791
2017-12-13,2017,December,Prod100,"Own Brand",55365,182
2017-12-07,2017,December,Prod101,"Own Brand",130702,420
2017-12-01,2017,December,Prod102,"Own Brand",622423,554
2017-12-01,2017,December,Prod103,"Own Brand",58986,52
2017-12-15,2017,December,Prod104,"Own Brand",231,1
2017-12-07,2017,December,Prod105,"Own Brand",569084,1806
2017-12-06,2017,December,Prod106,"Own Brand",180514,181
2017-12-13,2017,December,Prod107,"Own Brand",316611,400
2017-12-15,2017,December,Prod110,"Distribution",37290,28
2017-12-19,2017,December,Prod113,"Distribution",209103,615
2017-12-01,2017,December,Prod114,"Distribution",43552,146
2017-12-01,2017,December,Prod116,"Distribution",59202,185
2017-12-12,2017,December,Prod117,"Distribution",357113,1675
2017-12-16,2017,December,Prod118,"Distribution",54920,211
2017-12-20,2017,December,Prod119,"Distribution",23046,150
2017-12-15,2017,December,Prod122,"Own Brand",74922,315
2017-12-18,2017,December,Prod123,"Own Brand",353229,818
2017-12-27,2017,December,Prod126,"Own Brand",49815,222
2017-12-08,2017,December,Prod128,"Distribution",22571,41
2017-12-11,2017,December,Prod129,"Distribution",462037,1247
2017-12-06,2017,December,Prod133,"Own Brand",408135,485
2017-12-12,2017,December,Prod134,"Own Brand",80550,228
2017-12-15,2017,December,Prod135,"Own Brand",21147,119
2017-12-13,2017,December,Prod136,"Own Brand",2509,14
2017-12-04,2017,December,Prod137,"Own Brand",42812,179
2017-12-20,2017,December,Prod138,"Own Brand",1444,7
2017-12-05,2017,December,Prod139,"Own Brand",2403,12
2017-12-04,2017,December,Prod140,"Own Brand",4086,31
2017-12-13,2017,December,Prod152,"Own Brand",134676,144
2017-12-18,2017,December,Prod154,"Own Brand",134,1
2017-12-22,2017,December,Prod159,"Distribution",190,1
2017-12-12,2017,December,Prod166,"Own Brand",1386209,1268
2017-12-21,2017,December,Prod174,"Distribution",74768,234
2017-12-05,2017,December,Prod176,"Distribution",26499,30
2017-12-15,2017,December,Prod177,"Distribution",131742,69
2017-12-08,2017,December,Prod178,"Own Brand",13661,21
2017-12-01,2017,December,Prod179,"Own Brand",14911,15
2017-12-01,2017,December,Prod180,"Own Brand",191034,159
2017-12-06,2017,December,Prod183,"Own Brand",50000,200
2017-12-04,2017,December,Prod184,"Own Brand",9815,18
2017-12-12,2017,December,Prod185,"Own Brand",18337,26
2017-12-28,2017,December,Prod187,"Own Brand",21998,20
2017-12-01,2017,December,Prod188,"Distribution",40706,36
2017-12-19,2017,December,Prod192,"Distribution",782,1
2017-12-22,2017,December,Prod196,"Own Brand",18204,24
2017-12-14,2017,December,Prod199,"Own Brand",54185,196
2017-12-06,2017,December,Prod205,"Distribution",2167,2
2017-12-18,2017,December,Prod206,"Distribution",92524,82
2017-12-19,2017,December,Prod207,"Distribution",190,1
2017-12-11,2017,December,Prod208,"Own Brand",2037,12
2017-12-08,2017,December,Prod209,"Own Brand",473850,1147
2017-12-01,2017,December,Prod210,"Own Brand",164175,169
2017-12-01,2017,December,Prod212,"Own Brand",167967,173
2017-12-04,2017,December,Prod213,"Own Brand",46505,156
2017-12-22,2017,December,Prod214,"Own Brand",165504,131
2017-12-19,2017,December,Prod215,"Own Brand",205130,159
2017-12-05,2017,December,Prod216,"Own Brand",111520,238
2017-12-01,2017,December,Prod218,"Distribution",5429,28
2017-12-22,2017,December,Prod219,"Distribution",288,2
2017-12-08,2017,December,Prod220,"Distribution",53996,69
